numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2173E0534300V,2021-10-18,2031-10-17,E,C,appartement,1978-1982,48.0,Bourg-Saint-Maurice,73054,325.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0690009Q,2021-10-18,2031-10-17,F,F,appartement,1978-1982,46.8,Bourg-Saint-Maurice,73054,350.5,existant,Les Arcs / Bourg-Saint-Maurice
2173E0289338F,2021-08-11,2031-08-10,D,B,appartement,1989-2000,100.0,La Plagne Tarentaise,73150,189.5,existant,La Plagne
2173E0259939M,2021-08-20,2031-08-19,D,B,appartement,2006-2012,41.8,Tignes,73296,195.3,existant,Tignes
2173E0534860J,2021-10-18,2031-10-17,G,C,appartement,1948-1974,29.4,Bourg-Saint-Maurice,73054,54.1,existant,Les Arcs / Bourg-Saint-Maurice
2173E0515382F,2021-10-09,2031-10-08,F,D,appartement,2013-2021,28.7,Bourg-Saint-Maurice,73054,341.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0054591M,2021-07-16,2031-07-15,E,B,appartement,1989-2000,45.6,Bourg-Saint-Maurice,73054,268.6,existant,Les Arcs / Bourg-Saint-Maurice
2173E0535985Q,2021-10-18,2031-10-17,G,C,appartement,1975-1977,28.1,Bourg-Saint-Maurice,73054,428.6,existant,Les Arcs / Bourg-Saint-Maurice
2173E0067012F,2021-07-20,2031-07-19,C,B,appartement,1948-1974,32.6,La Plagne Tarentaise,73150,152.6,existant,La Plagne
2173E0062065Y,2021-07-19,2031-07-18,D,B,appartement,1983-1988,27.9,Bourg-Saint-Maurice,73054,258.7,existant,Les Arcs / Bourg-Saint-Maurice
2173E0769225K,2021-11-19,2031-11-18,G,C,appartement,1983-1988,23.7,Bourg-Saint-Maurice,73054,104.4,existant,Les Arcs / Bourg-Saint-Maurice
2173E0237525K,2021-08-31,2031-08-30,C,B,appartement,2013-2021,42.7,Val-D-Isère,73304,165.3,existant,Val d'Isère
2173E0037798P,2021-07-12,2031-07-11,C,A,appartement,1989-2000,24.4,La Plagne Tarentaise,73150,174.3,existant,La Plagne
2173E0227385K,2021-08-28,2031-08-27,F,F,appartement,1948-1974,39.8,Val-D-Isère,73304,406.0,existant,Val d'Isère
2173E0514740N,2021-10-09,2031-10-08,F,D,appartement,2013-2021,28.7,Bourg-Saint-Maurice,73054,116.7,existant,Les Arcs / Bourg-Saint-Maurice
2173E0031190L,2021-07-10,2031-07-09,D,C,appartement,1948-1974,103.8,La Plagne Tarentaise,73150,223.7,existant,La Plagne
2173E0213231A,2021-08-24,2031-08-23,G,C,appartement,1978-1982,28.1,Val-D-Isère,73304,475.1,existant,Val d'Isère
2173E0347846N,2021-09-19,2031-09-18,G,G,appartement,1948-1974,28.2,Bourg-Saint-Maurice,73054,699.6,existant,Les Arcs / Bourg-Saint-Maurice
2173E0040706L,2021-07-13,2031-07-12,E,E,maison,1948-1974,139.9,La Plagne Tarentaise,73150,383.3,existant,La Plagne
2173E0228046V,2021-08-16,2031-08-15,F,F,appartement,1948-1974,29.2,Val-D-Isère,73304,332.4,existant,Val d'Isère
2173E0091663I,2021-07-25,2031-07-24,D,B,appartement,1989-2000,17.0,La Plagne Tarentaise,73150,288.6,existant,La Plagne
2173E0523790P,2021-10-09,2031-10-08,F,D,appartement,2013-2021,32.5,Bourg-Saint-Maurice,73054,86.2,existant,Les Arcs / Bourg-Saint-Maurice
2173E0472318X,2021-10-08,2031-10-07,G,C,appartement,1948-1974,29.4,Bourg-Saint-Maurice,73054,795.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0245879S,2021-09-01,2031-08-31,D,B,appartement,1948-1974,19.0,La Plagne Tarentaise,73150,246.5,existant,La Plagne
2173E0189536R,2021-08-18,2031-08-17,F,C,maison,2001-2005,108.7,Tignes,73296,335.8,existant,Tignes
2173E0364135A,2021-09-21,2031-09-20,E,B,appartement,1978-1982,27.2,La Plagne Tarentaise,73150,278.1,existant,La Plagne
2173E0308854V,2021-09-13,2031-09-12,F,C,appartement,1989-2000,22.0,Montvalezan,73176,401.6,existant,La Rosière
2173E0185059M,2021-08-17,2031-08-16,E,C,appartement,1989-2000,18.8,Bourg-Saint-Maurice,73054,414.0,existant,Les Arcs / Bourg-Saint-Maurice
2173E0921920H,2021-12-10,2031-12-09,F,B,appartement,1983-1988,25.0,Montvalezan,73176,330.0,existant,La Rosière
2173E0225329I,2021-08-21,2031-08-20,G,C,appartement,1978-1982,27.9,Val-D-Isère,73304,456.8,existant,Val d'Isère
2173E0270841U,2021-08-20,2031-08-19,E,C,appartement,2013-2021,102.7,Bourg-Saint-Maurice,73054,100.6,existant,Les Arcs / Bourg-Saint-Maurice
2173E0321866H,2021-09-15,2031-09-14,D,B,appartement,1983-1988,21.6,La Plagne Tarentaise,73150,262.8,existant,La Plagne
2173E0641705U,2021-10-29,2031-10-28,G,G,appartement,1948-1974,22.2,Montvalezan,73176,120.6,existant,La Rosière
2173E0219652Z,2021-08-26,2031-08-25,D,B,appartement,1989-2000,28.8,Tignes,73296,266.6,existant,Tignes
2173E0163323M,2021-08-10,2031-08-09,E,C,appartement,1983-1988,17.2,Bourg-Saint-Maurice,73054,395.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0645197C,2021-11-07,2031-11-06,E,C,appartement,1975-1977,29.6,Montvalezan,73176,348.5,existant,La Rosière
2173E0251299E,2021-09-02,2031-09-01,E,B,appartement,1989-2000,65.9,La Plagne Tarentaise,73150,295.6,existant,La Plagne
2173E0071603U,2021-07-08,2031-07-07,C,C,appartement,2006-2012,48.3,Bourg-Saint-Maurice,73054,159.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0189978R,2021-08-18,2031-08-17,D,B,appartement,1983-1988,26.8,La Plagne Tarentaise,73150,219.3,existant,La Plagne
2173E0281824F,2021-09-08,2031-09-07,G,G,appartement,1975-1977,35.6,Tignes,73296,469.3,existant,Tignes
2173E0318091C,2021-07-20,2031-07-19,E,E,appartement,2001-2005,28.3,Montvalezan,73176,288.3,existant,La Rosière
2173E0291997M,2021-09-09,2031-09-08,F,C,appartement,1983-1988,18.5,Tignes,73296,456.6,existant,Tignes
2173E0276442F,2021-09-07,2031-09-06,D,B,appartement,1948-1974,19.6,La Plagne Tarentaise,73150,265.7,existant,La Plagne
2173E0297349I,2021-09-10,2031-09-09,D,C,appartement,1948-1974,47.9,La Plagne Tarentaise,73150,245.7,existant,La Plagne
2173E0254953S,2021-08-30,2031-08-29,G,C,appartement,1978-1982,28.6,Val-D-Isère,73304,683.1,existant,Val d'Isère
2173E0209198X,2021-08-24,2031-08-23,E,B,appartement,1989-2000,32.1,La Plagne Tarentaise,73150,294.0,existant,La Plagne
2173E0313280B,2021-09-14,2031-09-13,G,C,maison,avant 1948,64.1,Bourg-Saint-Maurice,73054,690.0,existant,Les Arcs / Bourg-Saint-Maurice
