numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2473E0110729T,2024-01-11,2034-01-10,E,B,appartement,1983-1988,25.1,Tignes,73296,313.1,existant,Tignes
2473E1669532S,2024-05-13,2034-05-12,E,B,appartement,1948-1974,80.0,Bourg-Saint-Maurice,73054,260.5,existant,Les Arcs / Bourg-Saint-Maurice
2473E0604201L,2024-02-20,2034-02-19,E,C,appartement,1948-1974,43.6,Val-D-Isère,73304,300.8,existant,Val d'Isère
2473E0804648Y,2024-03-01,2034-02-28,E,C,appartement,avant 1948,44.8,Bourg-Saint-Maurice,73054,290.6,existant,Les Arcs / Bourg-Saint-Maurice
2473E0613827R,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,279.6,existant,Val d'Isère
2473E1699616U,2024-05-15,2034-05-14,D,B,appartement,avant 1948,70.1,Bourg-Saint-Maurice,73054,246.1,existant,Les Arcs / Bourg-Saint-Maurice
2473E1035616I,2024-03-21,2034-03-20,E,C,maison,1975-1977,155.5,La Plagne Tarentaise,73150,295.9,existant,La Plagne
2473E2155011Z,2024-06-17,2034-06-16,C,A,appartement,1983-1988,92.5,Tignes,73296,145.6,existant,Tignes
2473E0643898G,2024-02-22,2034-02-21,E,C,appartement,1948-1974,43.6,Val-D-Isère,73304,314.3,existant,Val d'Isère
2473E1766337Z,2024-05-21,2034-05-20,F,C,appartement,1989-2000,22.6,La Plagne Tarentaise,73150,502.2,existant,La Plagne
2473E1696441R,2024-05-14,2034-05-13,G,D,maison,avant 1948,76.2,Peisey-Nancroix,73197,1025.0,existant,Peisey-Vallandry
2473E0492089L,2024-02-12,2034-02-11,D,B,appartement,2006-2012,61.8,Val-D-Isère,73304,185.5,existant,Val d'Isère
2473E0595748I,2024-02-19,2034-02-18,E,E,appartement,1948-1974,44.4,Val-D-Isère,73304,195.0,existant,Val d'Isère
2473E2131241T,2024-06-14,2034-06-13,G,G,appartement,1975-1977,64.1,Bourg-Saint-Maurice,73054,541.6,existant,Les Arcs / Bourg-Saint-Maurice
2473E0399227V,2024-02-03,2034-02-02,D,B,appartement,2013-2021,77.6,Tignes,73296,226.5,existant,Tignes
2473E2083137P,2024-06-11,2034-06-10,E,B,appartement,1983-1988,14.9,Tignes,73296,349.6,existant,Tignes
2473E0685898Q,2024-02-25,2034-02-24,D,C,appartement,1948-1974,29.8,La Plagne Tarentaise,73150,223.1,existant,La Plagne
2473E0491530Y,2024-02-12,2034-02-11,E,C,appartement,1989-2000,30.5,Val-D-Isère,73304,329.5,existant,Val d'Isère
2473E0013567T,2024-01-03,2034-01-02,E,C,appartement,1983-1988,31.9,Tignes,73296,375.6,existant,Tignes
2473E0075022K,2024-01-09,2034-01-08,D,B,appartement,1948-1974,27.7,Val-D-Isère,73304,269.2,existant,Val d'Isère
2473E2146223Z,2024-06-16,2034-06-15,F,C,appartement,1978-1982,16.3,Bourg-Saint-Maurice,73054,559.5,existant,Les Arcs / Bourg-Saint-Maurice
2473E1023778A,2024-03-20,2034-03-19,E,C,appartement,1978-1982,23.2,Peisey-Nancroix,73197,387.7,existant,Peisey-Vallandry
2473E1380451F,2024-04-17,2034-04-16,E,C,appartement,1975-1977,83.4,La Plagne Tarentaise,73150,366.5,existant,La Plagne
2473E0025718C,2024-01-04,2034-01-03,E,C,appartement,1975-1977,34.2,La Plagne Tarentaise,73150,376.3,existant,La Plagne
2473E0613796M,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,279.6,existant,Val d'Isère
2473E1721161L,2024-05-16,2034-05-15,F,F,appartement,1989-2000,32.8,La Plagne Tarentaise,73150,303.4,existant,La Plagne
2473E0399464Y,2024-02-03,2034-02-02,E,E,appartement,2006-2012,83.0,Bourg-Saint-Maurice,73054,209.1,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595765Z,2024-02-19,2034-02-18,E,E,appartement,1948-1974,16.1,Val-D-Isère,73304,227.1,existant,Val d'Isère
2473E0868194A,2024-03-10,2034-03-09,E,C,appartement,1975-1977,35.2,La Plagne Tarentaise,73150,352.8,existant,La Plagne
2473E0120372Q,2024-01-08,2034-01-07,E,B,appartement,avant 1948,28.8,Val-D-Isère,73304,299.4,existant,Val d'Isère
2473E0519324Y,2024-02-13,2034-02-12,F,C,appartement,1978-1982,27.6,La Plagne Tarentaise,73150,428.1,existant,La Plagne
2473E1124845F,2024-03-28,2034-03-27,E,B,appartement,1989-2000,61.8,La Plagne Tarentaise,73150,278.5,existant,La Plagne
2473E0492203V,2024-02-12,2034-02-11,D,B,appartement,2006-2012,61.8,Val-D-Isère,73304,185.5,existant,Val d'Isère
2473E0510135N,2024-02-13,2034-02-12,D,B,appartement,2006-2012,61.3,Val-D-Isère,73304,218.6,existant,Val d'Isère
2473E0265067V,2024-01-24,2034-01-23,C,A,appartement,1989-2000,27.4,Val-D-Isère,73304,190.7,existant,Val d'Isère
2473E0170625L,2024-01-16,2034-01-15,C,A,maison,2013-2021,98.9,La Plagne Tarentaise,73150,146.4,existant,La Plagne
2473E1434813B,2024-04-21,2034-04-20,F,F,appartement,1948-1974,49.7,Tignes,73296,319.3,existant,Tignes
2473E0742674I,2024-02-28,2034-02-27,E,E,appartement,1948-1974,56.8,Val-D-Isère,73304,217.1,existant,Val d'Isère
2473E0605037P,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,254.8,existant,Val d'Isère
2473E2108368A,2024-05-15,2034-05-14,E,C,maison,2013-2021,152.1,La Plagne Tarentaise,73150,301.0,existant,La Plagne
2473E0595795D,2024-02-19,2034-02-18,E,E,appartement,1948-1974,16.1,Val-D-Isère,73304,227.1,existant,Val d'Isère
2473E2116148G,2024-06-13,2034-06-12,E,C,appartement,1989-2000,22.9,La Plagne Tarentaise,73150,344.2,existant,La Plagne
2473E0441117Z,2024-02-06,2034-02-05,D,B,appartement,1978-1982,23.9,Val-D-Isère,73304,256.0,existant,Val d'Isère
2473E0388266G,2024-02-02,2034-02-01,C,B,appartement,1948-1974,59.9,La Plagne Tarentaise,73150,123.8,existant,La Plagne
2473E1169081P,2024-03-31,2034-03-30,F,C,appartement,1975-1977,51.3,La Plagne Tarentaise,73150,467.4,existant,La Plagne
2373E4536354B,2023-11-23,2033-11-22,F,C,appartement,1978-1982,98.0,Val-D-Isère,73304,426.6,existant,Val d'Isère
2473E1654986G,2024-05-08,2034-05-07,E,E,appartement,1948-1974,66.4,Tignes,73296,241.3,existant,Tignes
2473E0510190Q,2024-02-13,2034-02-12,E,C,appartement,2006-2012,27.1,Val-D-Isère,73304,316.7,existant,Val d'Isère
2473E0595672K,2024-02-19,2034-02-18,E,E,appartement,1948-1974,63.9,Val-D-Isère,73304,187.6,existant,Val d'Isère
2473E0983396W,2024-03-19,2034-03-18,E,B,appartement,1978-1982,27.5,La Plagne Tarentaise,73150,299.7,existant,La Plagne
2473E0854484S,2024-03-08,2034-03-07,E,C,appartement,1975-1977,34.4,La Plagne Tarentaise,73150,354.3,existant,La Plagne
2473E0595807P,2024-02-19,2034-02-18,E,E,appartement,1948-1974,16.1,Val-D-Isère,73304,227.1,existant,Val d'Isère
2473E2306210I,2024-06-26,2034-06-25,E,C,appartement,1983-1988,31.2,Tignes,73296,384.9,existant,Tignes
2473E1699639R,2024-05-15,2034-05-14,D,B,appartement,avant 1948,70.1,Bourg-Saint-Maurice,73054,204.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E1548005P,2024-04-29,2034-04-28,F,C,appartement,1948-1974,39.7,Val-D-Isère,73304,400.3,existant,Val d'Isère
2473E1015469L,2024-03-20,2034-03-19,D,B,appartement,1989-2000,27.0,Tignes,73296,238.3,existant,Tignes
2473E0605020Y,2024-02-20,2034-02-19,E,E,appartement,1948-1974,29.0,Val-D-Isère,73304,225.0,existant,Val d'Isère
2473E1322649B,2024-04-12,2034-04-11,G,G,appartement,1948-1974,109.6,Bourg-Saint-Maurice,73054,446.5,existant,Les Arcs / Bourg-Saint-Maurice
2473E1167964Q,2024-03-30,2034-03-29,D,D,appartement,2013-2021,72.5,Bourg-Saint-Maurice,73054,149.0,existant,Les Arcs / Bourg-Saint-Maurice
2373E4534685W,2023-12-12,2033-12-11,G,C,appartement,1978-1982,23.3,Peisey-Nancroix,73197,595.4,existant,Peisey-Vallandry
2473E0817509P,2024-03-06,2034-03-05,E,E,appartement,1989-2000,19.2,Montvalezan,73176,242.7,existant,La Rosière
2473E1784585V,2024-04-23,2034-04-22,F,C,appartement,1983-1988,22.0,La Plagne Tarentaise,73150,452.3,existant,La Plagne
2473E0491527V,2024-02-12,2034-02-11,D,B,appartement,1989-2000,66.0,Val-D-Isère,73304,235.0,existant,Val d'Isère
2473E1490484G,2024-04-25,2034-04-24,E,C,appartement,2006-2012,98.2,Bourg-Saint-Maurice,73054,297.5,existant,Les Arcs / Bourg-Saint-Maurice
2473E0691387T,2024-02-02,2034-02-01,E,C,appartement,1978-1982,33.4,Peisey-Nancroix,73197,387.4,existant,Peisey-Vallandry
2473E1021634O,2024-03-18,2034-03-17,G,C,appartement,1978-1982,31.2,La Plagne Tarentaise,73150,517.4,existant,La Plagne
2473E0613763F,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,279.6,existant,Val d'Isère
2373E4560266T,2023-12-18,2033-12-17,F,F,appartement,1948-1974,78.0,Tignes,73296,297.3,existant,Tignes
2473E0516703D,2024-02-13,2034-02-12,E,B,maison,1978-1982,131.8,Montvalezan,73176,254.9,existant,La Rosière
2473E0595708U,2024-02-19,2034-02-18,E,E,appartement,1948-1974,63.7,Val-D-Isère,73304,187.6,existant,Val d'Isère
2473E0353078W,2024-01-31,2034-01-30,E,C,appartement,après 2021,60.0,Sainte-Foy-Tarentaise,73232,332.1,existant,Sainte-Foy
2473E2061600G,2024-06-10,2034-06-09,E,B,appartement,1978-1982,47.2,La Plagne Tarentaise,73150,270.0,existant,La Plagne
2473E1378065L,2024-04-17,2034-04-16,F,C,appartement,1975-1977,105.8,La Plagne Tarentaise,73150,409.6,existant,La Plagne
2473E0120114S,2024-01-12,2034-01-11,F,F,appartement,1989-2000,34.2,La Plagne Tarentaise,73150,350.7,existant,La Plagne
2473E0491990Q,2024-02-12,2034-02-11,D,B,appartement,2006-2012,61.8,Val-D-Isère,73304,186.3,existant,Val d'Isère
2473E1899707P,2024-05-23,2034-05-22,E,E,appartement,1948-1974,67.4,Val-D-Isère,73304,229.8,existant,Val d'Isère
2473E0613742K,2024-02-20,2034-02-19,E,E,appartement,1948-1974,29.0,Val-D-Isère,73304,248.4,existant,Val d'Isère
2473E0391609V,2024-02-01,2034-01-31,E,C,appartement,1983-1988,39.5,Val-D-Isère,73304,338.7,existant,Val d'Isère
2473E0992140E,2024-03-19,2034-03-18,C,A,appartement,2013-2021,105.5,Peisey-Nancroix,73197,156.3,existant,Peisey-Vallandry
2473E0595954G,2024-02-19,2034-02-18,E,E,appartement,1948-1974,28.2,Val-D-Isère,73304,205.5,existant,Val d'Isère
2473E0613801R,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,279.6,existant,Val d'Isère
2473E1395327J,2024-04-18,2034-04-17,E,C,appartement,1983-1988,110.0,Bourg-Saint-Maurice,73054,334.3,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595874E,2024-02-19,2034-02-18,E,E,appartement,1948-1974,28.2,Val-D-Isère,73304,205.5,existant,Val d'Isère
2473E0613572W,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,279.6,existant,Val d'Isère
2473E0510152E,2024-02-13,2034-02-12,D,B,appartement,2006-2012,22.6,Val-D-Isère,73304,271.5,existant,Val d'Isère
2473E1249972U,2024-04-08,2034-04-07,F,C,appartement,1948-1974,19.5,La Plagne Tarentaise,73150,496.9,existant,La Plagne
2473E0962123R,2024-03-16,2034-03-15,F,C,appartement,1948-1974,24.8,Bourg-Saint-Maurice,73054,448.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595676O,2024-02-19,2034-02-18,E,E,appartement,1948-1974,83.4,Val-D-Isère,73304,183.1,existant,Val d'Isère
2473E0139920M,2024-01-14,2034-01-13,C,B,appartement,1948-1974,59.5,La Plagne Tarentaise,73150,130.2,existant,La Plagne
2473E1453319V,2024-04-23,2034-04-22,E,E,appartement,1948-1974,21.0,Val-D-Isère,73304,216.4,existant,Val d'Isère
2473E0604860U,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,254.8,existant,Val d'Isère
2473E0604898G,2024-02-20,2034-02-19,E,E,appartement,1948-1974,56.0,Val-D-Isère,73304,210.7,existant,Val d'Isère
2473E1712104C,2024-04-04,2034-04-03,E,C,maison,2013-2021,33.8,La Plagne Tarentaise,73150,378.7,existant,La Plagne
2473E0492272M,2024-02-12,2034-02-11,E,B,appartement,2006-2012,20.7,Val-D-Isère,73304,336.8,existant,Val d'Isère
2473E1709220E,2024-04-16,2034-04-15,E,C,appartement,1975-1977,40.8,Bourg-Saint-Maurice,73054,359.8,existant,Les Arcs / Bourg-Saint-Maurice
2473E0613785B,2024-02-20,2034-02-19,E,E,appartement,1948-1974,29.0,Val-D-Isère,73304,248.4,existant,Val d'Isère
2473E0148573H,2024-01-15,2034-01-14,E,C,appartement,2001-2005,92.1,Tignes,73296,320.8,existant,Tignes
2473E1774351F,2024-05-17,2034-05-16,E,C,maison,avant 1948,66.5,Peisey-Nancroix,73197,320.1,existant,Peisey-Vallandry
2473E1637134Q,2024-05-02,2034-05-01,C,C,appartement,1948-1974,82.1,La Plagne Tarentaise,73150,137.8,existant,La Plagne
2473E1038289D,2024-03-20,2034-03-19,E,C,appartement,1978-1982,29.0,Peisey-Nancroix,73197,347.0,existant,Peisey-Vallandry
2473E0492169N,2024-02-12,2034-02-11,E,C,appartement,2006-2012,64.5,Val-D-Isère,73304,309.0,existant,Val d'Isère
2473E0492323L,2024-02-12,2034-02-11,E,C,appartement,2006-2012,20.8,Val-D-Isère,73304,353.3,existant,Val d'Isère
2473E1169717B,2024-04-01,2034-03-31,D,B,appartement,2006-2012,57.3,Tignes,73296,224.3,existant,Tignes
2473E0595990Q,2024-02-19,2034-02-18,E,E,appartement,1948-1974,42.3,Val-D-Isère,73304,195.9,existant,Val d'Isère
2473E0492280U,2024-02-12,2034-02-11,E,C,appartement,2006-2012,20.7,Val-D-Isère,73304,346.0,existant,Val d'Isère
2473E1675327P,2024-05-13,2034-05-12,D,D,maison,avant 1948,150.0,Tignes,73296,227.1,existant,Tignes
2473E1531066C,2024-04-27,2034-04-26,G,C,appartement,avant 1948,47.6,Bourg-Saint-Maurice,73054,539.1,existant,Les Arcs / Bourg-Saint-Maurice
2473E0604932O,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,254.8,existant,Val d'Isère
2473E2178218O,2024-06-10,2034-06-09,E,B,maison,2001-2005,59.5,Montvalezan,73176,276.9,existant,La Rosière
2473E1799795V,2024-05-22,2034-05-21,C,C,appartement,2013-2021,28.6,Bourg-Saint-Maurice,73054,138.0,existant,Les Arcs / Bourg-Saint-Maurice
2473E0491521P,2024-02-12,2034-02-11,E,C,appartement,1989-2000,36.4,Val-D-Isère,73304,370.5,existant,Val d'Isère
2473E0334642U,2024-01-30,2034-01-29,C,C,appartement,1948-1974,48.3,La Plagne Tarentaise,73150,151.0,existant,La Plagne
2473E0119947H,2024-01-12,2034-01-11,E,E,maison,1989-2000,160.0,Bourg-Saint-Maurice,73054,265.3,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595918W,2024-02-19,2034-02-18,E,E,appartement,1948-1974,28.2,Val-D-Isère,73304,205.5,existant,Val d'Isère
2473E0944827L,2024-02-26,2034-02-25,E,E,appartement,1948-1974,61.3,Val-D-Isère,73304,191.6,existant,Val d'Isère
2473E1699624C,2024-05-15,2034-05-14,D,B,appartement,avant 1948,70.1,Bourg-Saint-Maurice,73054,227.9,existant,Les Arcs / Bourg-Saint-Maurice
2473E1620209R,2024-05-04,2034-05-03,D,B,appartement,1983-1988,26.7,Val-D-Isère,73304,229.4,existant,Val d'Isère
2473E2180698Y,2024-06-18,2034-06-17,G,C,maison,1975-1977,102.7,La Plagne Tarentaise,73150,519.6,existant,La Plagne
2473E0795147N,2024-03-04,2034-03-03,D,B,appartement,2006-2012,55.9,Tignes,73296,188.0,existant,Tignes
2473E0566079F,2024-02-15,2034-02-14,F,C,appartement,1983-1988,22.8,Val-D-Isère,73304,449.9,existant,Val d'Isère
2473E0613631D,2024-02-20,2034-02-19,E,E,appartement,1948-1974,41.0,Val-D-Isère,73304,239.9,existant,Val d'Isère
2473E2349285B,2024-06-28,2034-06-27,E,C,appartement,1983-1988,53.6,Tignes,73296,300.3,existant,Tignes
2473E0492214G,2024-02-12,2034-02-11,E,B,appartement,2006-2012,20.7,Val-D-Isère,73304,304.8,existant,Val d'Isère
2473E1637810Q,2024-05-06,2034-05-05,G,G,appartement,1948-1974,68.2,Tignes,73296,372.0,existant,Tignes
2473E2128100Y,2024-06-14,2034-06-13,E,C,appartement,1983-1988,15.5,Bourg-Saint-Maurice,73054,354.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E1445871J,2024-04-22,2034-04-21,E,B,appartement,1983-1988,29.0,Val-D-Isère,73304,284.5,existant,Val d'Isère
2473E1169346U,2024-03-31,2034-03-30,E,C,appartement,1975-1977,70.9,La Plagne Tarentaise,73150,332.0,existant,La Plagne
2473E1620106S,2024-05-04,2034-05-03,D,D,appartement,1975-1977,20.0,Tignes,73296,174.3,existant,Tignes
2473E2248490I,2024-06-24,2034-06-23,F,E,maison,1989-2000,152.8,Bourg-Saint-Maurice,73054,408.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595905J,2024-02-19,2034-02-18,E,E,appartement,1948-1974,42.3,Val-D-Isère,73304,195.9,existant,Val d'Isère
2473E0569137V,2024-01-03,2034-01-02,E,B,appartement,2001-2005,83.6,Sainte-Foy-Tarentaise,73232,267.1,existant,Sainte-Foy
2473E0613682C,2024-02-20,2034-02-19,E,E,appartement,1948-1974,41.0,Val-D-Isère,73304,239.9,existant,Val d'Isère
2473E0761884E,2024-02-29,2034-02-28,F,C,appartement,1989-2000,42.7,La Plagne Tarentaise,73150,496.9,existant,La Plagne
2473E1663601P,2024-05-11,2034-05-10,D,B,appartement,1948-1974,39.5,La Plagne Tarentaise,73150,198.6,existant,La Plagne
2473E1374104C,2024-04-16,2034-04-15,D,B,appartement,2006-2012,91.8,Bourg-Saint-Maurice,73054,228.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E1655233T,2024-05-08,2034-05-07,D,B,maison,2006-2012,435.0,Sainte-Foy-Tarentaise,73232,193.8,existant,Sainte-Foy
2473E1020926I,2024-03-15,2034-03-14,D,B,appartement,2006-2012,29.9,Bourg-Saint-Maurice,73054,232.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E2232872Q,2024-06-06,2034-06-05,F,C,appartement,1989-2000,68.9,Val-D-Isère,73304,429.0,existant,Val d'Isère
2473E0613735D,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,279.6,existant,Val d'Isère
2473E0772072A,2024-03-01,2034-02-28,E,C,appartement,1978-1982,23.0,La Plagne Tarentaise,73150,371.6,existant,La Plagne
2473E0385578W,2024-02-02,2034-02-01,E,B,appartement,2013-2021,112.3,Tignes,73296,251.8,existant,Tignes
2473E0492336Y,2024-02-12,2034-02-11,E,C,appartement,2006-2012,20.8,Val-D-Isère,73304,356.5,existant,Val d'Isère
2473E1339377L,2024-04-14,2034-04-13,E,B,appartement,1989-2000,21.8,Tignes,73296,300.7,existant,Tignes
2473E0604963T,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,254.8,existant,Val d'Isère
2473E0649236O,2024-02-22,2034-02-21,D,B,appartement,2001-2005,62.0,Bourg-Saint-Maurice,73054,221.6,existant,Les Arcs / Bourg-Saint-Maurice
2473E0324536C,2024-01-20,2034-01-19,G,C,appartement,1989-2000,33.1,Bourg-Saint-Maurice,73054,618.1,existant,Les Arcs / Bourg-Saint-Maurice
2473E0996601T,2024-03-19,2034-03-18,D,D,appartement,2013-2021,39.1,Val-D-Isère,73304,132.7,existant,Val d'Isère
2473E2149893D,2024-06-11,2034-06-10,F,C,appartement,1989-2000,30.2,La Plagne Tarentaise,73150,435.3,existant,La Plagne
2473E0945767P,2024-03-15,2034-03-14,E,C,appartement,1989-2000,49.9,La Plagne Tarentaise,73150,296.5,existant,La Plagne
2473E0184042M,2024-01-17,2034-01-16,E,C,appartement,1989-2000,26.2,Bourg-Saint-Maurice,73054,353.5,existant,Les Arcs / Bourg-Saint-Maurice
2473E0492297L,2024-02-12,2034-02-11,E,C,appartement,2006-2012,20.7,Val-D-Isère,73304,366.2,existant,Val d'Isère
2473E2194682U,2024-06-19,2034-06-18,D,B,appartement,1975-1977,28.4,Bourg-Saint-Maurice,73054,204.3,existant,Les Arcs / Bourg-Saint-Maurice
2473E0380220U,2024-02-01,2034-01-31,E,C,appartement,2013-2021,112.3,Tignes,73296,312.1,existant,Tignes
2473E2258003F,2024-06-24,2034-06-23,D,B,appartement,2013-2021,75.2,La Plagne Tarentaise,73150,192.4,existant,La Plagne
2473E0595899D,2024-02-19,2034-02-18,E,E,appartement,1948-1974,28.2,Val-D-Isère,73304,205.5,existant,Val d'Isère
2473E1160497L,2024-03-29,2034-03-28,C,B,appartement,1983-1988,53.4,Bourg-Saint-Maurice,73054,162.3,existant,Les Arcs / Bourg-Saint-Maurice
2473E2255928K,2024-06-24,2034-06-23,E,C,appartement,1978-1982,44.9,La Plagne Tarentaise,73150,297.5,existant,La Plagne
2473E0603128E,2024-02-20,2034-02-19,D,B,appartement,1989-2000,55.3,Montvalezan,73176,205.3,existant,La Rosière
2473E1645995L,2024-05-07,2034-05-06,D,B,appartement,1978-1982,23.8,Tignes,73296,222.5,existant,Tignes
2473E0492100W,2024-02-12,2034-02-11,D,B,appartement,2006-2012,45.4,Val-D-Isère,73304,191.1,existant,Val d'Isère
2473E0370304K,2024-01-31,2034-01-30,D,B,appartement,2013-2021,69.3,Montvalezan,73176,187.2,existant,La Rosière
2473E0604942Y,2024-02-20,2034-02-19,E,E,appartement,1948-1974,56.0,Val-D-Isère,73304,210.7,existant,Val d'Isère
2473E0818227F,2024-03-06,2034-03-05,D,B,appartement,1975-1977,27.7,Bourg-Saint-Maurice,73054,241.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E0602954M,2024-02-20,2034-02-19,F,F,appartement,1948-1974,65.7,Val-D-Isère,73304,352.5,existant,Val d'Isère
2473E1148708A,2024-03-29,2034-03-28,C,C,appartement,1948-1974,59.5,La Plagne Tarentaise,73150,172.6,existant,La Plagne
2473E1814229Z,2024-05-22,2034-05-21,B,A,maison,2013-2021,328.4,Tignes,73296,96.6,existant,Tignes
2473E0492361X,2024-02-12,2034-02-11,E,B,appartement,2006-2012,20.6,Val-D-Isère,73304,308.1,existant,Val d'Isère
2473E0983687B,2024-03-19,2034-03-18,E,C,appartement,1983-1988,25.6,Bourg-Saint-Maurice,73054,332.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E0602955N,2024-02-20,2034-02-19,F,F,appartement,1948-1974,104.7,Val-D-Isère,73304,341.1,existant,Val d'Isère
2473E0604837X,2024-02-20,2034-02-19,E,E,appartement,1948-1974,56.0,Val-D-Isère,73304,210.7,existant,Val d'Isère
2473E0235403X,2024-01-22,2034-01-21,G,G,maison,1948-1974,84.9,Bourg-Saint-Maurice,73054,595.6,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595719F,2024-02-19,2034-02-18,E,E,appartement,1948-1974,63.7,Val-D-Isère,73304,187.6,existant,Val d'Isère
2473E0605004I,2024-02-20,2034-02-19,E,E,appartement,1948-1974,14.0,Val-D-Isère,73304,254.8,existant,Val d'Isère
2473E0492395F,2024-02-12,2034-02-11,E,C,appartement,2006-2012,20.7,Val-D-Isère,73304,353.8,existant,Val d'Isère
2473E0595679R,2024-02-19,2034-02-18,E,E,appartement,1948-1974,83.4,Val-D-Isère,73304,183.1,existant,Val d'Isère
2473E0492370G,2024-02-12,2034-02-11,E,B,appartement,2006-2012,20.6,Val-D-Isère,73304,308.1,existant,Val d'Isère
2473E0864160W,2024-03-09,2034-03-08,E,B,appartement,1983-1988,26.8,La Plagne Tarentaise,73150,307.2,existant,La Plagne
2473E0613748Q,2024-02-20,2034-02-19,E,E,appartement,1948-1974,41.0,Val-D-Isère,73304,239.9,existant,Val d'Isère
2473E1331341J,2024-04-12,2034-04-11,D,D,appartement,1975-1977,23.8,Tignes,73296,157.7,existant,Tignes
2473E0492266G,2024-02-12,2034-02-11,E,B,appartement,2006-2012,20.8,Val-D-Isère,73304,316.6,existant,Val d'Isère
2473E2149571T,2024-06-11,2034-06-10,E,C,appartement,2006-2012,42.5,Bourg-Saint-Maurice,73054,287.5,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595995V,2024-02-19,2034-02-18,E,E,appartement,1948-1974,16.1,Val-D-Isère,73304,227.1,existant,Val d'Isère
2473E0820332E,2024-03-06,2034-03-05,E,B,maison,avant 1948,56.2,Bourg-Saint-Maurice,73054,261.3,existant,Les Arcs / Bourg-Saint-Maurice
2473E0492109F,2024-02-12,2034-02-11,C,B,appartement,2006-2012,78.4,Val-D-Isère,73304,179.4,existant,Val d'Isère
2473E1000736U,2024-03-15,2034-03-14,F,F,appartement,avant 1948,75.6,Bourg-Saint-Maurice,73054,335.8,existant,Les Arcs / Bourg-Saint-Maurice
2473E2202191P,2024-06-19,2034-06-18,D,B,appartement,1989-2000,78.4,Bourg-Saint-Maurice,73054,189.6,existant,Les Arcs / Bourg-Saint-Maurice
2473E0252932C,2024-01-23,2034-01-22,F,C,appartement,1989-2000,18.3,Bourg-Saint-Maurice,73054,496.2,existant,Les Arcs / Bourg-Saint-Maurice
2473E0595878I,2024-02-19,2034-02-18,E,E,appartement,1948-1974,42.3,Val-D-Isère,73304,195.9,existant,Val d'Isère
2473E0554186U,2024-02-15,2034-02-14,E,B,maison,1989-2000,50.5,Bourg-Saint-Maurice,73054,252.6,existant,Les Arcs / Bourg-Saint-Maurice
2473E2153548S,2024-06-17,2034-06-16,B,A,appartement,1983-1988,67.5,Tignes,73296,95.5,existant,Tignes
2473E1057823L,2024-03-23,2034-03-22,D,B,appartement,2001-2005,54.1,Bourg-Saint-Maurice,73054,230.3,existant,Les Arcs / Bourg-Saint-Maurice
2473E1109425D,2024-03-27,2034-03-26,E,C,appartement,1975-1977,139.7,La Plagne Tarentaise,73150,348.4,existant,La Plagne
2473E0590145V,2024-02-19,2034-02-18,C,B,appartement,1948-1974,33.6,La Plagne Tarentaise,73150,150.9,existant,La Plagne
2473E0842932K,2024-03-07,2034-03-06,E,C,appartement,1975-1977,36.8,La Plagne Tarentaise,73150,339.3,existant,La Plagne
2473E1279274U,2024-04-09,2034-04-08,E,B,appartement,1989-2000,78.8,Bourg-Saint-Maurice,73054,275.4,existant,Les Arcs / Bourg-Saint-Maurice
2473E0751200G,2024-02-29,2034-02-28,E,C,appartement,1975-1977,26.3,La Plagne Tarentaise,73150,400.8,existant,La Plagne
2473E0189364E,2024-01-17,2034-01-16,E,C,appartement,1978-1982,23.3,La Plagne Tarentaise,73150,390.2,existant,La Plagne
2473E0529796S,2024-02-14,2034-02-13,D,D,appartement,1948-1974,27.2,Tignes,73296,163.9,existant,Tignes
