id,date,annee,mois,prix,nature_mutation,vefa,codtypbien,type_bien,surface_m2,code_commune,nb_lots,nb_appartements,nb_maisons,commune,prix_m2,altitude,station
6355556,2019-12-20,2019,12,110820.0,Vente,False,121,UN APPARTEMENT,26.0,73176,1,1,0,Montvalezan,4262.31,1853,La Rosière
6350537,2019-12-20,2019,12,83400.0,Vente,False,121,UN APPARTEMENT,28.0,73150,2,1,0,La Plagne Tarentaise,2978.57,1947,La Plagne
6365324,2019-08-06,2019,8,218640.0,Vente,False,121,UN APPARTEMENT,40.0,73054,1,1,0,Bourg-Saint-Maurice,5466.0,1671,Les Arcs / Bourg-Saint-Maurice
6357338,2019-12-20,2019,12,295000.0,Vente,False,121,UN APPARTEMENT,80.0,73054,2,1,0,Bourg-Saint-Maurice,3687.5,834,Les Arcs / Bourg-Saint-Maurice
6359335,2019-12-04,2019,12,225000.0,Vente,False,121,UN APPARTEMENT,75.0,73054,1,1,0,Bourg-Saint-Maurice,3000.0,833,Les Arcs / Bourg-Saint-Maurice
6366816,2019-07-08,2019,7,91200.0,Vente,False,121,UN APPARTEMENT,22.0,73176,2,1,0,Montvalezan,4145.45,1864,La Rosière
6369247,2019-11-12,2019,11,57680.0,Vente,False,121,UN APPARTEMENT,28.0,73054,1,1,0,Bourg-Saint-Maurice,2060.0,815,Les Arcs / Bourg-Saint-Maurice
6369844,2019-08-19,2019,8,282220.0,Vente,False,121,UN APPARTEMENT,100.0,73054,1,1,0,Bourg-Saint-Maurice,2822.2,810,Les Arcs / Bourg-Saint-Maurice
6370425,2019-08-08,2019,8,63000.0,Vente,False,121,UN APPARTEMENT,28.0,73150,1,1,0,La Plagne Tarentaise,2250.0,1969,La Plagne
6366208,2019-07-26,2019,7,107380.0,Vente,False,121,UN APPARTEMENT,29.0,73054,1,1,0,Bourg-Saint-Maurice,3702.76,854,Les Arcs / Bourg-Saint-Maurice
6368426,2019-09-03,2019,9,75370.0,Vente,False,121,UN APPARTEMENT,24.0,73150,1,1,0,La Plagne Tarentaise,3140.42,2057,La Plagne
6374438,2019-08-23,2019,8,257500.0,Vente,False,121,UN APPARTEMENT,73.0,73054,2,1,0,Bourg-Saint-Maurice,3527.4,826,Les Arcs / Bourg-Saint-Maurice
6375053,2019-12-06,2019,12,188900.0,Vente,False,121,UN APPARTEMENT,29.0,73054,1,1,0,Bourg-Saint-Maurice,6513.79,1737,Les Arcs / Bourg-Saint-Maurice
6373261,2019-12-31,2019,12,52780.0,Vente,False,121,UN APPARTEMENT,17.0,73054,1,1,0,Bourg-Saint-Maurice,3104.71,830,Les Arcs / Bourg-Saint-Maurice
6370412,2019-11-26,2019,11,370000.0,Vente,False,121,UN APPARTEMENT,60.0,73054,1,1,0,Bourg-Saint-Maurice,6166.67,1751,Les Arcs / Bourg-Saint-Maurice
6372807,2019-12-18,2019,12,280000.0,Vente,False,121,UN APPARTEMENT,53.0,73176,2,1,0,Montvalezan,5283.02,1853,La Rosière
6381725,2019-09-09,2019,9,1160000.0,Vente,False,121,UN APPARTEMENT,66.0,73304,2,1,0,Val-d-Isère,17575.76,1834,Val d'Isère
6392328,2019-07-18,2019,7,224450.0,Vente,False,121,UN APPARTEMENT,39.0,73054,2,1,0,Bourg-Saint-Maurice,5755.13,1680,Les Arcs / Bourg-Saint-Maurice
6393162,2019-12-27,2019,12,133000.0,Vente,False,121,UN APPARTEMENT,49.0,73054,1,1,0,Bourg-Saint-Maurice,2714.29,1604,Les Arcs / Bourg-Saint-Maurice
6396107,2019-11-15,2019,11,339730.0,Vente,False,121,UN APPARTEMENT,90.0,73054,1,1,0,Bourg-Saint-Maurice,3774.78,827,Les Arcs / Bourg-Saint-Maurice
6398721,2019-09-27,2019,9,224625.0,Vente,False,121,UN APPARTEMENT,37.0,73054,1,1,0,Bourg-Saint-Maurice,6070.95,1725,Les Arcs / Bourg-Saint-Maurice
6380119,2019-10-10,2019,10,106500.0,Vente,False,121,UN APPARTEMENT,37.0,73150,2,1,0,La Plagne Tarentaise,2878.38,1835,La Plagne
6386857,2019-07-26,2019,7,510000.0,Vente,False,121,UN APPARTEMENT,110.0,73176,1,1,0,Montvalezan,4636.36,1823,La Rosière
6390311,2019-12-02,2019,12,73500.0,Vente,False,121,UN APPARTEMENT,30.0,73054,1,1,0,Bourg-Saint-Maurice,2450.0,2129,Les Arcs / Bourg-Saint-Maurice
6396166,2019-09-12,2019,9,105500.0,Vente,False,121,UN APPARTEMENT,27.0,73296,1,1,0,Tignes,3907.41,1578,Tignes
6402638,2019-07-04,2019,7,101500.0,Vente,False,121,UN APPARTEMENT,28.0,73176,1,1,0,Montvalezan,3625.0,1876,La Rosière
